Identifiant produit,Dénomination du produit,Description,Type d’unité,Devise,Prix HT,Taux de TVA,TVA,Prix TTC,Référence produit
43ab0fdd-7fdc-4a1d-b08d-336714c5fdde,Licenciement pour faute grave ou motif personnel,,(pas d’unité),Euros,350.00 $,20% (FR),70.00 $,420.00 $,
218a8c8e-d6f6-4ad0-a29f-757b9d79a8dd,Licenciement économique,,unité,Euros,350.00 $,20% (FR),70.00 $,420.00 $,
0196f2d2-ea52-7b63-9a28-5122a93b8658,Déclaration d'embauche à la préfecture,,unité,Euros,60.00 $,20% (FR),12.00 $,72.00 $,
0196f2dd-24f1-75fd-a48b-72f26c436abf,Déclaration obligatoire d'emploi travailleurs handicapés,,(pas d’unité),Euros,100.00 $,20% (FR),20.00 $,120.00 $,
0196f2e1-c95f-7bcf-8616-b9876e97686e,Prolongation ou rupture de période d'essai,,(pas d’unité),Euros,100.00 $,20% (FR),20.00 $,120.00 $,
0196f372-51cc-775f-af3b-2b3bddc47191,DSN à néant,,(pas d’unité),Euros,15.00 $,20% (FR),3.00 $,18.00 $,
0197b05c-0e47-7b52-8403-ae1f94575c3e,Frais - Changement de dirigeant,,unité,Euros,250.00 $,20% (FR),50.00 $,300.00 $,
019b20ee-aae0-7af5-948c-cbff141c40ee,Consultant comptable,,unité,Euros,600.00 $,20% (FR),120.00 $,720.00 $,
019bbbb3-0f3b-7c61-b8f9-ea1174459ea1,Déclaration mèdecine du travail,"[{""type"":""paragraph"",""children"":[{""text"":""{{moisPrécédent}}""}]}]",(pas d’unité),Euros,20.00 $,20% (FR),4.00 $,24.00 $,
019bbbb9-f5d5-7623-9976-b7a174155b4d,Dossier prévoyance,"[{""type"":""paragraph"",""children"":[{""text"":""{{moisPrécédent}}""}]}]",unité,Euros,50.00 $,20% (FR),10.00 $,60.00 $,
019bbce9-aeb2-7dcd-90f4-de2ac68faf7c,Ordinateur portable,,unité,Euros,1.00 $,20% (FR),0.20 $,1.20 $,
019bd716-81de-7ea9-a5b8-de239320e483,Transformation,,unité,Euros,"1,750.00 $",20% (FR),350.00 $,"2,100.00 $",
019be687-690b-7e2b-8e3a-df034f421f48,Accompagnement direction des ressources humaines,"[{""type"":""paragraph"",""children"":[{""text"":""""}]}]",jour,Euros,"1,000.00 $",20% (FR),200.00 $,"1,200.00 $",
019c0535-c147-7166-97e6-ca2782229df4,Refacturation,,unité,Euros,1.00 $,20% (FR),0.20 $,1.20 $,
019c31bf-7496-7a41-aef0-d8be84b29643,Frais de paramétrage dossier comptable,,unité,Euros,130.00 $,20% (FR),26.00 $,156.00 $,
